epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2228,2.91425,8.41713,1.53974,0.00042,0.07692,0.00026,0.00013,2.92778,5.97791,1.01401,0.0003,0.0003,0.0003
2,21.2921,2.43728,5.53883,1.08335,0.00064,0.11538,0.00046,0.00022,2.59629,6.27999,0.88392,0.000604655,0.000604655,0.000604655
3,31.4704,2.32772,4.4208,1.09435,0.00213,0.42308,0.00192,0.00044,2.53417,5.20078,1.04606,0.00089347,0.00089347,0.00089347
4,41.5614,2.56687,4.08791,1.06996,0.00113,0.23077,0.00116,0.00048,2.41909,5.42521,1.04672,0.00116645,0.00116645,0.00116645
5,51.5171,2.29339,3.02846,1.08976,0.00185,0.38462,0.00264,0.00102,2.51243,5.00526,0.99321,0.00142358,0.00142358,0.00142358
6,62.4706,2.49496,4.43174,1.08354,0.00185,0.38462,0.0037,0.00136,2.50357,4.70097,0.97329,0.00166487,0.00166487,0.00166487
7,73.6706,2.31195,3.18378,1.01058,0.00259,0.53846,0.15086,0.083,2.79598,4.47558,0.9867,0.001703,0.001703,0.001703
8,84.5258,2.18946,3.19515,1.04811,0.48409,0.21731,0.25325,0.12813,2.81771,4.05948,1.02149,0.0016535,0.0016535,0.0016535
9,94.472,2.00755,2.50509,0.99944,0.44613,0.30769,0.35125,0.14613,2.45746,3.36567,0.95756,0.001604,0.001604,0.001604
10,104.482,2.12263,2.8856,0.98343,0.48216,0.39425,0.38439,0.16058,2.5142,3.06514,0.99614,0.0015545,0.0015545,0.0015545
11,114.233,2.2304,2.93686,0.98234,0.4805,0.42704,0.41293,0.18052,2.42314,3.03297,0.9075,0.001505,0.001505,0.001505
12,124.343,1.95032,2.4598,0.97421,0.53228,0.43812,0.38623,0.16598,2.19308,2.88621,0.8834,0.0014555,0.0014555,0.0014555
13,134.618,2.0607,2.45812,0.96761,0.62752,0.46154,0.47083,0.25549,2.09673,2.66581,0.86146,0.001406,0.001406,0.001406
14,144.998,2.12957,2.46941,0.91752,0.54571,0.53846,0.43055,0.2415,2.14901,2.70203,0.88068,0.0013565,0.0013565,0.0013565
15,155.36,1.98667,3.21838,0.92334,0.48312,0.5,0.37063,0.22103,2.05837,2.70389,0.89945,0.001307,0.001307,0.001307
16,165.645,2.04247,2.21753,0.96734,0.51677,0.53846,0.44492,0.23961,1.8464,2.48239,0.88307,0.0012575,0.0012575,0.0012575
17,175.551,1.87299,2.2097,0.98419,0.58417,0.57692,0.56077,0.27481,2.0033,2.36683,0.87836,0.001208,0.001208,0.001208
18,185.577,1.87959,2.74951,0.93619,0.66588,0.68996,0.58672,0.29412,1.94682,2.34239,0.85361,0.0011585,0.0011585,0.0011585
19,195.883,1.899,1.94781,0.90906,0.68715,0.67618,0.63257,0.33645,1.90289,2.15103,0.84523,0.001109,0.001109,0.001109
20,206.25,1.87752,2.63705,0.91188,0.82066,0.57692,0.67337,0.33816,1.78954,1.98771,0.84738,0.0010595,0.0010595,0.0010595
21,216.561,2.12693,2.67696,0.90196,0.71097,0.61538,0.61465,0.2896,2.01736,1.98782,0.87041,0.00101,0.00101,0.00101
22,226.711,1.72694,1.84521,0.90244,0.71345,0.61538,0.61656,0.2409,2.32824,2.11877,0.8646,0.0009605,0.0009605,0.0009605
23,236.786,1.64803,1.8687,0.94857,0.66056,0.57692,0.61101,0.2645,2.28788,2.22185,0.84352,0.000911,0.000911,0.000911
24,248.291,1.76224,1.95901,0.87684,0.65215,0.53846,0.55357,0.25436,2.12507,2.07531,0.8515,0.0008615,0.0008615,0.0008615
25,261.619,1.7388,1.97915,0.91297,0.70523,0.46154,0.58491,0.27073,2.02298,2.05444,0.86514,0.000812,0.000812,0.000812
26,273.391,1.66522,1.79687,0.92187,0.71947,0.46154,0.53748,0.26401,1.93848,2.06506,0.87196,0.0007625,0.0007625,0.0007625
27,284.939,1.76705,2.00017,0.93329,0.57272,0.57692,0.56668,0.2726,1.98552,2.04934,0.8867,0.000713,0.000713,0.000713
28,296.614,1.95727,2.3326,0.89592,0.63146,0.57692,0.60279,0.25786,2.17387,2.16923,0.88861,0.0006635,0.0006635,0.0006635
29,308.076,1.69403,1.8863,0.88792,0.67653,0.5635,0.61419,0.23551,2.26246,2.20651,0.88527,0.000614,0.000614,0.000614
30,319.966,1.72165,1.80772,0.92217,0.77893,0.53846,0.6803,0.27499,2.22144,2.14455,0.88481,0.0005645,0.0005645,0.0005645
31,332.026,1.64804,2.08662,0.90156,0.73565,0.64255,0.69339,0.29097,2.17324,2.12824,0.88238,0.000515,0.000515,0.000515
32,343.36,1.80524,2.77509,0.9027,0.79917,0.65385,0.71542,0.31942,2.07176,2.02922,0.88267,0.0004655,0.0004655,0.0004655
33,354.925,1.71797,2.15959,0.88322,0.78263,0.65385,0.6944,0.30458,2.07379,2.02367,0.88463,0.000416,0.000416,0.000416
